Local_CORNERS_AF_AVG,Local_CORNERS_EC_AVG,Visitante_CORNERS_AF_AVG,Visitante_CORNERS_EC_AVG,Local_ST_AF_AVG,Local_ST_EC_AVG,Visitante_ST_AF_AVG,Visitante_ST_EC_AVG,FACTOR_LOCAL,CORNERS_TOTAL_PARTIDO
5.5,3.5,3.5,5.5,16.5,11.5,11.5,16.5,1,5
7.0,4.5,4.5,7.0,16.5,8.0,8.0,16.5,1,14
2.5,7.0,7.0,2.5,9.0,14.0,14.0,9.0,1,11
6.0,4.5,4.5,6.0,12.0,9.5,9.5,12.0,1,8
6.0,3.5,3.5,6.0,14.0,12.0,12.0,14.0,1,6
7.0,3.5,3.5,7.0,12.0,8.5,8.5,12.0,1,17
5.0,10.0,10.0,5.0,8.5,14.5,14.5,8.5,1,12
4.5,7.0,7.0,4.5,8.0,16.5,16.5,8.0,1,17
3.0,5.5,5.5,3.0,9.5,14.5,14.5,9.5,1,10
7.0,4.5,4.5,7.0,13.5,10.5,10.5,13.5,1,13
4.5,8.0,8.0,4.5,9.0,14.0,14.0,9.0,1,14
3.5,6.5,6.5,3.5,10.75,14.0,14.0,10.75,1,5
5.0,7.0,7.0,5.0,12.0,12.75,12.75,12.0,1,12
4.75,5.75,5.75,4.75,14.5,12.5,12.5,14.5,1,10
6.0,7.25,7.25,6.0,10.25,14.75,14.75,10.25,1,10
4.5,2.75,2.75,4.5,12.75,10.0,10.0,12.75,1,10
5.25,2.75,2.75,5.25,14.25,10.0,10.0,14.25,1,14
4.75,3.75,3.75,4.75,13.0,12.5,12.5,13.0,1,9
7.5,4.5,4.5,7.5,15.5,9.75,9.75,15.5,1,7
9.25,6.75,6.75,9.25,11.25,13.0,13.0,11.25,1,19
6.666666666666666,4.833333333333334,4.833333333333334,6.666666666666666,12.5,13.5,13.5,12.5,1,7
4.5,5.666666666666666,5.666666666666666,4.5,10.833333333333334,12.0,12.0,10.833333333333334,1,11
3.833333333333333,5.833333333333333,5.833333333333333,3.833333333333333,10.5,13.833333333333334,13.833333333333334,10.5,1,7
6.666666666666666,4.0,4.0,6.666666666666666,16.833333333333336,8.666666666666666,8.666666666666666,16.833333333333336,1,9
5.666666666666667,5.333333333333333,5.333333333333333,5.666666666666667,14.166666666666668,12.0,12.0,14.166666666666668,1,15
4.166666666666667,4.666666666666667,4.666666666666667,4.166666666666667,12.166666666666668,12.0,12.0,12.166666666666668,1,8
5.166666666666666,5.333333333333333,5.333333333333333,5.166666666666666,13.833333333333334,13.0,13.0,13.833333333333334,1,9
5.333333333333333,6.166666666666667,6.166666666666667,5.333333333333333,13.166666666666668,14.5,14.5,13.166666666666668,1,5
