Local,Visitante,Lambda,Prob_MAS_7_5,Prob_MENOS_7_5,Prob_MAS_8_5,Prob_MENOS_8_5,Prob_MAS_9_5,Prob_MENOS_9_5,Prob_MAS_10_5,Prob_MENOS_10_5,Prob_MAS_11_5,Prob_MENOS_11_5,Prob_MAS_12_5,Prob_MENOS_12_5
Bournemouth,Fulham,9.629583744445927,0.7445470648233963,0.25545293517660367,0.6239700553234848,0.3760299446765151,0.4949582319196789,0.5050417680803211,0.370725216170618,0.629274783829382,0.26196955899055857,0.7380304410094414,0.17469691661575532,0.8253030833842447
Leeds,Tottenham,9.773650108322906,0.758694685485212,0.24130531451478796,0.6411260531650305,0.3588739468349696,0.5134510891637507,0.4865489108362493,0.3886660465896275,0.6113339534103726,0.2777928334194773,0.7222071665805228,0.1874898340935981,0.8125101659064019
Arsenal,West Ham,10.183308924426898,0.7958397066970382,0.20416029330296184,0.6874380413562446,0.31256195864375536,0.5647838584576177,0.4352161415423823,0.4398813149246301,0.5601186850753699,0.32425211617525795,0.675747883824742,0.22612812854619044,0.7738718714538095
Man United,Sunderland,9.63772418156029,0.7453616035357656,0.25463839646423436,0.6249509281815788,0.3750490718184211,0.4960081640061288,0.5039918359938712,0.37173668437303264,0.6282633156269674,0.26285538943319947,0.7371446105668005,0.17540806533642964,0.8245919346635704
Chelsea,Liverpool,10.460225325086208,0.8184113158386297,0.18158868416137033,0.7165546028389397,0.2834453971610603,0.5981719174112297,0.4018280825887703,0.4743409609949645,0.5256590390050355,0.3565864422372327,0.6434135577627673,0.2539415422994847,0.7460584577005154
Aston Villa,Burnley,10.138499409671848,0.7919969522528221,0.2080030477471779,0.6825573339032761,0.3174426660967239,0.5592736110108768,0.4407263889891232,0.43428241583420335,0.5657175841657966,0.31908031051485114,0.6809196894851488,0.22174893745041666,0.7782510625495833
Everton,Crystal Palace,9.60237054728544,0.7418109321401455,0.2581890678598545,0.6206812373967197,0.3793187626032803,0.4914443248182813,0.5085556751817186,0.36734625252175074,0.6326537474782492,0.259015736667651,0.740984263332349,0.17232992376684722,0.8276700762331528
Newcastle,Nottingham Forest,10.244182669181557,0.8009745062656912,0.19902549373430875,0.693993671181663,0.30600632881833706,0.57222353599251,0.42777646400749003,0.4474799851396489,0.5525200148603511,0.331307646799736,0.668692353200264,0.2321334255447323,0.7678665744552677
Wolverhampton Wanderers,Brighton & Hove Albion,9.723542433808307,0.7538383687562817,0.2461616312437183,0.6352083050809516,0.3647916949190484,0.5070411430729017,0.4929588569270983,0.3824172592322952,0.6175827407677048,0.2722549298877376,0.7277450701122624,0.18299092288865648,0.8170090771113435
Brentford,Man City,9.671466958730552,0.7487186033592348,0.2512813966407652,0.6290022266874493,0.3709977733125507,0.5003541176429923,0.4996458823570077,0.37593252405032906,0.6240674759496709,0.26653803937905196,0.733461960620948,0.1783709440485848,0.8216290559514152
